ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Neu5Ac,Fuc,Oxidation,OffBy+1,OffBy-1,Perm,Perm Score,N52,N78
0-2-0,11812.1907,0.1,0,100.00,2,11812.1706,0.0201,2,5,4,0,0,0,1,0,0,68.11,unmodified,A2G2
1-3-0,12102.2769,0.2,0,100.00,2,12102.2660,0.0109,1,5,4,1,0,0,0,0,0,89.18,unmodified,A2S1G1
2-3-0,12102.2991,1.3,0,100.00,2,12102.2660,0.0331,3,5,4,1,0,0,0,0,0,89.18,unmodified,A2S1G1
3-0-0,12117.2353,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-3-0,12118.3026,0.0,0,100.00,2,12118.2609,0.0417,3,5,4,1,0,1,0,0,0,89.18,unmodified,A2S1G1
5-2-0,12394.3672,0.2,0,100.00,2,12394.3614,0.0058,0,5,4,2,0,0,1,0,0,94.59,unmodified,A2S2
6-4-0,12394.3776,2.0,0,100.00,2,12394.3614,0.0162,1,5,4,2,0,0,1,0,0,94.59,unmodified,A2S2
7-4-0,12394.3810,0.6,0,100.00,2,12394.3614,0.0196,2,5,4,2,0,0,1,0,0,94.59,unmodified,A2S2
8-3-0,12409.3635,0.0,0,100.00,2,12409.3563,0.0071,1,5,4,2,0,1,0,0,0,94.59,unmodified,A2S2
9-0-0,12760.5207,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-2-0,12784.4981,0.0,0,100.00,2,12784.4875,0.0106,1,11,4,0,0,0,1,0,0,64.44,M5,M6
11-0-0,13024.5861,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-5-0,13027.6084,0.0,0,82.38,2,13027.5935,0.0149,1,10,6,0,0,0,0,0,0,60.30,M5,A2G2
12-9-0,13027.6084,0.0,1,13.02,2,13027.5731,0.0353,3,8,6,1,0,2,1,0,0,7.77,A1G1,A1S1
12-5-1,13027.6084,0.0,2,3.60,2,13027.5935,0.0149,1,10,6,0,0,0,0,0,0,2.56,M5-A1G1,A1G1
12-5-2,13027.6084,0.0,3,1.00,2,13027.5935,0.0149,1,10,6,0,0,0,0,0,0,0.65,M6,A2G1
12-3-0,13027.6084,0.0,4,0.00,1,13027.5935,0.0149,1,9,6,0,1,1,0,0,0,0.00,A2G0F,M6
13-0-0,13030.6410,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14-0-0,13048.6249,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-3-0,13049.5944,0.1,0,100.00,2,13049.5890,0.0054,0,6,5,3,0,0,0,0,0,99.61,unmodified,A3S3
16-5-0,13068.6331,0.0,0,100.00,2,13068.6200,0.0131,1,9,7,0,0,0,0,0,0,57.96,A1G1,A2G2
17-6-0,13110.5839,0.1,0,98.78,1,13110.6466,-0.0626,-5,8,8,0,0,0,1,0,0,98.78,A2G1,A2G1
17-5-0,13110.5839,0.1,1,1.22,1,13110.6466,-0.0626,-5,7,8,0,1,1,1,0,0,1.22,A2G0F,A2G1
18-0-0,13117.6167,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-8-0,13156.6568,0.1,0,100.00,2,13156.6360,0.0208,2,9,6,1,0,0,0,0,0,86.90,M5,A2S1G0
20-0-0,13193.5610,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-5-0,13197.6323,0.0,0,57.51,2,13197.6626,-0.0303,-2,8,7,1,0,0,0,0,0,30.90,A1S1,A2G1
21-5-1,13197.6323,0.0,1,42.16,2,13197.6626,-0.0303,-2,8,7,1,0,0,0,0,0,32.46,A1G1,A2S1G0
21-4-0,13197.6323,0.0,2,0.33,1,13197.6626,-0.0303,-2,7,7,1,1,1,0,0,0,0.33,A2G0F,A1S1
22-9-0,13230.6994,0.3,0,41.05,2,13230.6524,0.0470,4,8,7,1,0,2,1,0,0,22.06,A1S1,A2G1
22-9-1,13230.6994,0.3,1,30.09,2,13230.6524,0.0470,4,8,7,1,0,2,1,0,0,23.17,A1G1,A2S1G0
22-7-0,13230.6994,0.3,2,15.54,2,13230.6728,0.0266,2,9,7,0,1,1,0,0,0,10.34,A2G2F,A1G1
22-8-0,13230.6994,0.3,3,13.30,2,13230.6728,0.0266,2,10,7,0,0,0,0,0,0,10.77,M5-A1G1,A2G1
22-7-1,13230.6994,0.3,4,0.03,1,13230.6728,0.0266,2,9,7,0,1,1,0,0,0,0.03,A2G0F,M5-A1G1
23-2-0,13231.6897,0.1,0,53.82,2,13231.6728,0.0169,1,9,7,0,1,1,1,0,0,35.80,A2G2F,A1G1
23-3-0,13231.6897,0.1,1,46.07,2,13231.6728,0.0169,1,10,7,0,0,0,1,0,0,37.30,M5-A1G1,A2G1
23-2-1,13231.6897,0.1,2,0.11,1,13231.6728,0.0169,1,9,7,0,1,1,1,0,0,0.11,A2G0F,M5-A1G1
24-0-0,13236.6750,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-0-0,13243.6896,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-0-0,13252.6993,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27-3-0,13255.7144,0.0,0,100.00,1,13255.7045,0.0099,1,8,8,0,1,0,0,0,0,100.00,A2G0F,A2G2
28-3-0,13263.6910,0.0,0,100.00,2,13263.6627,0.0283,2,10,7,0,0,2,1,0,0,80.96,M5-A1G1,A2G1
29-0-0,13266.6817,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-4-0,13271.6434,0.9,0,99.45,2,13271.6994,-0.0560,-4,9,8,0,0,0,0,0,0,55.22,A2G2,A2G1
30-3-0,13271.6434,0.9,1,0.55,1,13271.6994,-0.0560,-4,8,8,0,1,1,0,0,0,0.55,A2G0F,A2G2
