Name,Composition,Sites,Relative Abundance
unmodified,"0 HexNAc, 0 Hex, 0 Fuc",N52,5.838248525442367
M5,"2 HexNAc, 5 Hex, 0 Fuc",N52,1.839448165550335
M6,"2 HexNAc, 6 Hex, 0 Fuc",N52,0.18994301709487155
M7,"2 HexNAc, 7 Hex, 0 Fuc",N52,0.06997900629811057
A1G1,"3 HexNAc, 4 Hex, 0 Fuc",N52,4.308707387783665
A1G1M5,"3 HexNAc, 6 Hex, 0 Fuc",N52,2.119364190742777
A2G1,"4 HexNAc, 4 Hex, 0 Fuc",N52,2.4692592222333296
A2G2,"4 HexNAc, 5 Hex, 0 Fuc",N52,76.94691592522244
A2G2F,"4 HexNAc, 5 Hex, 1 Fuc",N52,3.3190042987103867
A3G3,"5 HexNAc, 6 Hex, 0 Fuc",N52,2.4692592222333296
A3G3F,"5 HexNAc, 6 Hex, 1 Fuc",N52,0.3398980305908228
A3G3F+LacN1,"6 HexNAc, 7 Hex, 1 Fuc",N52,0.08997300809757072
unmodified,"0 HexNAc, 0 Hex, 0 Fuc",N78,0.6295593084840612
M5,"2 HexNAc, 5 Hex, 0 Fuc",N78,0.1698810832417308
M6,"2 HexNAc, 6 Hex, 0 Fuc",N78,0.0299790146897172
M7,"2 HexNAc, 7 Hex, 0 Fuc",N78,0.0699510342760068
A1G1,"3 HexNAc, 4 Hex, 0 Fuc",N78,1.0592585190366743
A1G1F,"3 HexNAc, 4 Hex, 1 Fuc",N78,0.0099930048965724
A1G1M5,"3 HexNAc, 6 Hex, 0 Fuc",N78,0.4296992105526132
A2G1,"4 HexNAc, 4 Hex, 0 Fuc",N78,1.2191465973818327
A2G2,"4 HexNAc, 5 Hex, 0 Fuc",N78,82.25242330368742
A2G2F,"4 HexNAc, 5 Hex, 1 Fuc",N78,0.979314479864095
A3G3,"5 HexNAc, 6 Hex, 0 Fuc",N78,12.831018287198958
A3G3F,"5 HexNAc, 6 Hex, 1 Fuc",N78,0.21984610772459276
A3G3+LacN1,"6 HexNAc, 7 Hex, 0 Fuc",N78,0.099930048965724
