Name,Composition,Sites,Relative Abundance
unmodified,"0 HexNAc, 0 Hex, 0 Fuc",N52,6.022772672792649
M5,"2 HexNAc, 5 Hex, 0 Fuc",N52,1.9776268477826608
M6,"2 HexNAc, 6 Hex, 0 Fuc",N52,0.22972433080303634
M7,"2 HexNAc, 7 Hex, 0 Fuc",N52,0.08989212944466639
A1G1,"3 HexNAc, 4 Hex, 0 Fuc",N52,4.544546544147023
A1G1M5,"3 HexNAc, 6 Hex, 0 Fuc",N52,2.3671594087095484
A2G0F,"4 HexNAc, 3 Hex, 1 Fuc",N52,0.01997602876548142
A2G1,"4 HexNAc, 4 Hex, 0 Fuc",N52,2.38713543747503
A2G2,"4 HexNAc, 5 Hex, 0 Fuc",N52,75.34958050339591
A2G2F,"4 HexNAc, 5 Hex, 1 Fuc",N52,3.4258889332800635
A2G2F2,"4 HexNAc, 5 Hex, 2 Fuc",N52,0.12984418697562924
A3G3,"5 HexNAc, 6 Hex, 0 Fuc",N52,3.0563324011186577
A3G3F,"5 HexNAc, 6 Hex, 1 Fuc",N52,0.35956851777866555
A3G3F+LacN1,"6 HexNAc, 7 Hex, 1 Fuc",N52,0.03995205753096284
unmodified,"0 HexNAc, 0 Hex, 0 Fuc",N78,0.7288338658146964
M5,"2 HexNAc, 5 Hex, 0 Fuc",N78,0.1896964856230032
M6,"2 HexNAc, 6 Hex, 0 Fuc",N78,0.03993610223642173
M7,"2 HexNAc, 7 Hex, 0 Fuc",N78,0.06988817891373802
A1G1,"3 HexNAc, 4 Hex, 0 Fuc",N78,1.0583067092651757
A1G1M5,"3 HexNAc, 6 Hex, 0 Fuc",N78,0.47923322683706077
A2G1,"4 HexNAc, 4 Hex, 0 Fuc",N78,1.018370607028754
A2G2,"4 HexNAc, 5 Hex, 0 Fuc",N78,82.78753993610223
A2G2F,"4 HexNAc, 5 Hex, 1 Fuc",N78,0.9285143769968052
A3G3,"5 HexNAc, 6 Hex, 0 Fuc",N78,12.220447284345049
A3G3F,"5 HexNAc, 6 Hex, 1 Fuc",N78,0.23961661341853036
A3G3+LacN1,"6 HexNAc, 7 Hex, 0 Fuc",N78,0.21964856230031948
A3G3F+LacN1,"6 HexNAc, 7 Hex, 1 Fuc",N78,0.019968051118210865
