Name,Composition,Sites,Relative Abundance
unmodified,"0 HexNAc, 0 Hex, 0 Fuc",N52,6.022772672792649
M5,"2 HexNAc, 5 Hex, 0 Fuc",N52,1.9776268477826608
M6,"2 HexNAc, 6 Hex, 0 Fuc",N52,0.22972433080303634
M7,"2 HexNAc, 7 Hex, 0 Fuc",N52,0.08989212944466639
A1G1,"3 HexNAc, 4 Hex, 0 Fuc",N52,4.544546544147023
A1G1M5,"3 HexNAc, 6 Hex, 0 Fuc",N52,2.3671594087095484
A2G0F,"4 HexNAc, 3 Hex, 1 Fuc",N52,0.01997602876548142
A2G1,"4 HexNAc, 4 Hex, 0 Fuc",N52,2.38713543747503
A2G2,"4 HexNAc, 5 Hex, 0 Fuc",N52,75.34958050339591
A2G2F,"4 HexNAc, 5 Hex, 1 Fuc",N52,3.4258889332800635
A2G2F2,"4 HexNAc, 5 Hex, 2 Fuc",N52,0.12984418697562924
A3G3,"5 HexNAc, 6 Hex, 0 Fuc",N52,3.0563324011186577
A3G3F,"5 HexNAc, 6 Hex, 1 Fuc",N52,0.35956851777866555
A3G3F+LacN1,"6 HexNAc, 7 Hex, 1 Fuc",N52,0.03995205753096284
unmodified,"0 HexNAc, 0 Hex, 0 Fuc",N78,0.7386703932920743
M5,"2 HexNAc, 5 Hex, 0 Fuc",N78,0.18965861449391097
M6,"2 HexNAc, 6 Hex, 0 Fuc",N78,0.03992812936713915
M7,"2 HexNAc, 7 Hex, 0 Fuc",N78,0.06987422639249352
A1G1,"3 HexNAc, 4 Hex, 0 Fuc",N78,1.0580954282291877
A1G1M5,"3 HexNAc, 6 Hex, 0 Fuc",N78,0.47913755240566985
A2G1,"4 HexNAc, 4 Hex, 0 Fuc",N78,1.0181672988620483
A2G2,"4 HexNAc, 5 Hex, 0 Fuc",N78,82.82092233978838
A2G2F,"4 HexNAc, 5 Hex, 1 Fuc",N78,0.9283290077859854
A3G3,"5 HexNAc, 6 Hex, 0 Fuc",N78,12.23797165102815
A3G3F,"5 HexNAc, 6 Hex, 1 Fuc",N78,0.2395687762028349
A3G3+LacN1,"6 HexNAc, 7 Hex, 0 Fuc",N78,0.1597125174685566
A3G3F+LacN1,"6 HexNAc, 7 Hex, 1 Fuc",N78,0.019964064683569576
