Name,Composition,Sites,Relative Abundance
unmodified,"0 HexNAc, 0 Hex, 0 Fuc",N13,41.38
M5,"2 HexNAc, 5 Hex, 0 Fuc",N13,1.15
M6,"2 HexNAc, 6 Hex, 0 Fuc",N13,0.95
M7,"2 HexNAc, 7 Hex, 0 Fuc",N13,0.07
A1G1,"3 HexNAc, 4 Hex, 0 Fuc",N13,0.8500000000000001
A1G1F,"3 HexNAc, 4 Hex, 1 Fuc",N13,0.04
A1G1M5,"3 HexNAc, 6 Hex, 0 Fuc",N13,0.9600000000000001
A2G0F,"4 HexNAc, 3 Hex, 1 Fuc",N13,0.8500000000000001
A2G1,"4 HexNAc, 4 Hex, 0 Fuc",N13,2.25
A2G2,"4 HexNAc, 5 Hex, 0 Fuc",N13,29.56
A2G2F,"4 HexNAc, 5 Hex, 1 Fuc",N13,18.37
A3G3,"5 HexNAc, 6 Hex, 0 Fuc",N13,1.96
A3G3F,"5 HexNAc, 6 Hex, 1 Fuc",N13,1.3900000000000001
A3G3+LacN1,"6 HexNAc, 7 Hex, 0 Fuc",N13,0.03
A3G3F+LacN1,"6 HexNAc, 7 Hex, 1 Fuc",N13,0.19
unmodified,"0 HexNAc, 0 Hex, 0 Fuc",N30,6.887933619914026
A2G1,"4 HexNAc, 4 Hex, 0 Fuc",N30,0.06997900629811059
A2G2F,"4 HexNAc, 5 Hex, 1 Fuc",N30,93.04208737378788
unmodified,"0 HexNAc, 0 Hex, 0 Fuc",O115-122,13.019999999999998
1 x Core,"1 HexNAc, 1 Hex, 0 Fuc",O115-122,58.07
2 x Core,"2 HexNAc, 2 Hex, 0 Fuc",O115-122,28.910000000000004
unmodified,"0 HexNAc, 0 Hex, 0 Fuc",O123-133,4.23
1 x Core,"1 HexNAc, 1 Hex, 0 Fuc",O123-133,28.28
2 x Core,"2 HexNAc, 2 Hex, 0 Fuc",O123-133,67.49000000000001
unmodified,"0 HexNAc, 0 Hex, 0 Fuc",O134-145,2.9702970297029707
1 x Core,"1 HexNAc, 1 Hex, 0 Fuc",O134-145,83.3983398339834
2 x Core,"2 HexNAc, 2 Hex, 0 Fuc",O134-145,13.631363136313631
