ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Neu5Ac,Fuc,Na+,Perm,Perm Score,hCG alpha,hCG beta
0-28-0,36052.8000,100.0,0,26.48,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,26.48,A2S1G1/A2S2,unmodified/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S
0-28-1,36052.8000,100.0,1,20.90,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,20.90,A2S1G1/A2S2,unmodified/A2S2F/1 x Core + 1 x S/2 x Core + 3 x S/2 x Core + 3 x S
0-28-2,36052.8000,100.0,2,15.23,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,15.23,A2S1G1/A2S1G1,unmodified/A2S2F/1 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S
0-28-3,36052.8000,100.0,3,15.15,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,15.15,A2G2/A2S2,unmodified/A2S2F/1 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S
0-28-4,36052.8000,100.0,4,11.68,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,11.68,A2S2/A2S2,unmodified/A2S2F/1 x Core + 1 x S/2 x Core + 2 x S/2 x Core + 3 x S
0-28-5,36052.8000,100.0,5,5.42,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,5.42,A2S2/A2S2,unmodified/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 2 x S
0-28-6,36052.8000,100.0,6,1.10,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,1.10,A2S2/A2S2,unmodified/A2S1G1F/2 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S
0-28-7,36052.8000,100.0,7,0.77,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,0.77,A1G1/A2S2,unmodified/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S
0-28-8,36052.8000,100.0,8,0.66,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,0.66,A1S1/A2S1G1,unmodified/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S
0-28-9,36052.8000,100.0,9,0.64,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,0.64,A1S1/A2S2,unmodified/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/2 x Core + 3 x S
0-28-10,36052.8000,100.0,10,0.33,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,0.33,unmodified/A2S2,A2S2/A2S2F/1 x Core + 1 x S/2 x Core + 2 x S/2 x Core + 3 x S
0-28-11,36052.8000,100.0,11,0.30,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,0.30,A2S1G1/A3S2G1,unmodified/A2S2F/1 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S
0-7-0,36052.8000,100.0,12,0.28,1,36052.9850,-0.1850,-5,29,22,4,0,0,0,0.28,M7/A3S1G2,A3G3/A2G1/2 x Core/2 x Core + 1 x S/2 x Core + 2 x S
0-28-12,36052.8000,100.0,13,0.26,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,0.26,A2S1G1/A3S3,unmodified/A2S2F/1 x Core + 1 x S/2 x Core + 3 x S/1 x Core + 2 x S
0-28-13,36052.8000,100.0,14,0.25,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,0.25,A2S2/A3S2G1,unmodified/A2S2F/1 x Core + 1 x S/2 x Core + 3 x S/1 x Core + 2 x S
0-28-14,36052.8000,100.0,15,0.16,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,0.16,A2G2/A3S3,unmodified/A2S2F/1 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S
0-28-15,36052.8000,100.0,16,0.16,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,0.16,unmodified/A2S2,A2S2/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 2 x S
0-28-16,36052.8000,100.0,17,0.10,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,0.10,A2S2/A3S1G2,unmodified/A2S2F/1 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S
0-28-17,36052.8000,100.0,18,0.07,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,0.07,unmodified/A2S2,A2S1G1/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S
0-28-18,36052.8000,100.0,19,0.06,1,36053.9360,-1.1360,-32,20,17,12,1,0,0,0.06,unmodified/A2S2,A2S1G1/A2S2F/1 x Core + 1 x S/2 x Core + 3 x S/2 x Core + 3 x S
1-45-0,35760.9200,91.7,0,25.87,1,35762.6800,-1.7600,-49,20,17,11,1,0,0,25.87,A2S1G1/A2S2,unmodified/A2S2F/1 x Core + 1 x S/2 x Core + 2 x S/2 x Core + 3 x S
1-45-1,35760.9200,91.7,1,12.00,1,35762.6800,-1.7600,-49,20,17,11,1,0,0,12.00,A2S1G1/A2S2,unmodified/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 2 x S
